"id","createdAt","tweet"
"658f86e3-e5ed-487f-bf03-b8eb7f17dfdb","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"acf4c067-5895-4862-b741-279e14a310c2","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"53734771-8919-4a29-9862-a3c64478a027","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"d362f864-86f3-4e75-9ce7-9b421196c012","{}","Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather… https://t.co/y8jrCw8hsK"
"8ecd33bf-6bac-424f-b7c5-14ecceaf56b8","{}","""#WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rai… https://t.co/CR16e2mLeo"""
"d690443a-afe2-4d05-905d-46b1eded03ad","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"4218dbf2-1e0f-4669-a711-219090ea3ddc","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"7aedadb6-a04f-4bff-9764-718ae209c61c","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"0029c936-e7ad-407f-98cc-546dbdbed53d","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 8°C.  This morning's band of rain should fade out around lunchtime, wi…"""
"15c73cd1-e7ab-4f0a-b878-344882ac989c","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"f728e62c-f181-4656-a426-1602620d746b","{}","""#WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rai… https://t.co/CR16e2mLeo"""
"7bc6cf8a-400b-4b16-b300-a7ac68d68e68","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 8°C.  This morning's band of rain should fade out around lunchtime, wi…"""
"73b440c1-7f82-4ccd-b0f6-9d7226497c65","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 8°C.  This morning's band of rain should fade out around lunchtime, wi…"""
"132120f2-b31a-4b72-b297-83dd86461ced","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"69ea7804-3ea1-496a-9272-5afd8e989610","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"7db59ec4-6eeb-46e8-9127-16bfe4036b28","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"6ae8218b-85b5-4e35-9ef6-e7c29c1f6d06","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"6d8b09d4-557c-4c02-98d7-afc6ee3f4674","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"c84fea10-4bd1-443d-9c83-73c8a13a550a","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
